sample,collectdate,slurry,analysisweightusedg,replicate_tubefromslurry,testtube,softtube,testtube2 (9ml saline solution),imagefromtube,cassette,well,captured,sampleid,labid,image,eggcounts(strongyle),epg(2wellscombined)(strongyle),notes
fpbluemob,17/05/2024,2,18.8,4b,fec5,5,fec46,b,2,2,y,499907,144511,,5,35,
fpbluemob,17/05/2024,2,18.8,4c,fec5,5,fec46,c,1,1,y,499906,144511,,0,10,
fpbluemob,17/05/2024,2,18.8,4c,fec5,5,fec46,c,1,2,y,499906,144511,,2,10,
fpgreenmob,23/05/2024,1,16.2,1a,fec1,1,fec50,a,1,1,y,500612,144612,,1,20,
fpgreenmob,23/05/2024,1,16.2,1a,fec1,1,fec50,a,1,2,y,500612,144612,,3,20,
fpgreenmob,23/05/2024,1,16.2,1b,fec1,1,fec50,b,2,1,y,500611,144612,,1,25,
fpgreenmob,23/05/2024,1,16.2,1b,fec1,1,fec50,b,2,2,y,500611,144612,,4,25,
fpgreenmob,23/05/2024,1,16.2,2a,fec2,3,fec49,a,1,1,y,500610,144612,,3,20,
fpgreenmob,23/05/2024,1,16.2,2a,fec2,3,fec49,a,1,2,y,500610,144612,,1,20,
fpgreenmob,23/05/2024,1,16.2,2b,fec2,3,fec49,b,2,1,y,500609,144612,,1,15,
fpgreenmob,23/05/2024,1,16.2,2b,fec2,3,fec49,b,2,2,y,500609,144612,,2,15,
fpgreenmob,23/05/2024,1,16.2,2c,fec2,3,fec49,c,1,1,y,500608,144612,,2,15,
fpgreenmob,23/05/2024,1,16.2,2c,fec2,3,fec49,c,1,2,y,500608,144612,,1,15,
fpgreenmob,23/05/2024,1,16.2,3a,fec3,4,fec48,a,1,1,y,500619,144615,,0,10,
fpgreenmob,23/05/2024,1,16.2,3a,fec3,4,fec48,a,1,2,y,500619,144615,,2,10,
fpgreenmob,23/05/2024,1,16.2,3b,fec3,4,fec48,b,2,1,y,500618,144615,,1,10,
fpgreenmob,23/05/2024,1,16.2,3b,fec3,4,fec48,b,2,2,y,500618,144615,,1,10,
fpgreenmob,23/05/2024,1,16.2,3c,fec3,4,fec48,c,1,1,y,500617,144615,,1,10,
fpgreenmob,23/05/2024,1,16.2,3c,fec3,4,fec48,c,1,2,y,500617,144615,,1,10,
fpbluemob,23/05/2024,1,18,1a,fec4,5,fec47,a,1,1,y,500651,144634,,4,35,
fpbluemob,23/05/2024,1,18,1a,fec4,5,fec47,a,1,2,y,500651,144634,,3,35,
fpbluemob,23/05/2024,1,18,1b,fec4,5,fec47,b,2,1,y,500650,144634,,2,25,
fpbluemob,23/05/2024,1,18,1b,fec4,5,fec47,b,2,2,y,500650,144634,,3,25,
fpbluemob,23/05/2024,1,18,1c,fec4,5,fec47,c,1,1,y,500649,144634,,3,30,
fpbluemob,23/05/2024,1,18,1c,fec4,5,fec47,c,1,2,y,500649,144634,,3,30,
fpbluemob,23/05/2024,1,18,1d,fec4,5,fec47,d,2,1,y,500648,144634,,2,15,
fpbluemob,23/05/2024,1,18,1d,fec4,5,fec47,d,2,2,y,500648,144634,,1,15,
fpbluemob,23/05/2024,1,18,2a,fec5,1,fec46,a,1,1,y,500647,144634,,2,15,
fpbluemob,23/05/2024,1,18,2a,fec5,1,fec46,a,1,2,y,500647,144634,,1,15,
fpbluemob,23/05/2024,1,18,2b,fec5,1,fec46,b,2,1,y,500646,144634,,4,25,
fpbluemob,23/05/2024,1,18,2b,fec5,1,fec46,b,2,2,y,500646,144634,,1,25,
fpbluemob,23/05/2024,1,18,2c,fec5,1,fec46,c,1,1,y,500645,144634,,1,5,
fpbluemob,23/05/2024,1,18,2c,fec5,1,fec46,c,1,2,y,500645,144634,,0,5,
fpbluemob,23/05/2024,1,18,2d,fec5,1,fec46,d,2,1,y,500644,144634,,0,10,
fpbluemob,23/05/2024,1,18,2d,fec5,1,fec46,d,2,2,y,500644,144634,,2,10,
fpbluemob,23/05/2024,1,18,3a,fec6,3,fec45,a,2,1,y,500656,144636,,1,5,
fpbluemob,23/05/2024,1,18,3a,fec6,3,fec45,a,2,2,y,500656,144636,,0,0,
