image_id,egg,length.px,width.px,id
500617 - 1,1,73.43,34.13,coop
500617 - 2,1,75.29,41.73,others
500651 - 1,1,62.63,29.41,others
500651 - 1,2,71.02,31.78,others
500651 - 1,3,60.8,33.6,others
500651 - 1,4,67.71,37.97,others
500651 - 2,1,82.7,39.28,coop
500651 - 2,2,67.55,37.26,others
500650 - 1,1,76.64,35.93,others
500650 - 2,1,69.98,31.64,others
500650 - 2,2,70.83,31.83,others
500650 - 2,3,78.29,42.76,others
500649 - 1,1,74.33,43.74,others
500649 - 1,2,71.57,40.45,others
500649 - 1,3,60.83,33.97,others
500649 - 2,1,62.73,27.94,others
500648 - 1,1,71.84,42.06,others
500648 - 1,2,67.27,30.07,coop
500648 - 2,1,61.07,35.06,others
500647 - 1,1,67.27,37.01,others
500647 - 1,2,63.06,34.44,others
500647 - 2,1,67.01,36.8,others
500646 - 1,1,71.17,31.62,others
500646 - 1,2,61.1,34.18,others
500646 - 1,3,81.15,35.01,coop
500646 - 1,4,72.84,38.9,others
500646 - 2,1,69.07,38.05,others
500645 - 1,1,66.4,29.07,coop
500653 - 1,1,63.15,35.51,others
500653 - 1,2,61.85,33.24,others
500653 - 1,3,75.07,31.89,coop
500653 - 2,1,59.09,39.81,others
500653 - 2,2,71.18,33.54,others
501328 - 2,1,78.41,35.47,coop
501327 - 2,1,67.18,38.21,others
501326 - 1,1,70.62,32.45,coop
501326 - 1,2,73.23,34.31,coop
501326 - 1,3,75.37,32.47,coop
501326 - 1,4,71.18,42.48,others
501326 - 1,5,80.4,36.81,others
501325 - 1,1,66.56,31.22,others
501325 - 1,2,73.95,33.39,others
501325 - 1,3,65.75,32.99,others
501325 - 2,1,73.19,42.02,others
501324 - 2,1,70.52,29.81,coop
501368 - 2,1,69.58,39.09,others
501367 - 1,1,55.84,32.67,others
501387 - 1,1,71.94,33.05,others
501387 - 2,1,81.81,43.93,others
501386 - 1,1,78.31,43.54,others
501385 - 1,1,76.56,33.08,coop
501385 - 1,2,81.01,35.52,others
501385 - 1,3,64.94,28.79,others
501384 - 1,1,71.65,35.61,coop
501384 - 2,1,79.9,42.82,others
501384 - 2,2,84.72,38.18,others
501383 - 1,1,67.37,36.57,others
501383 - 2,1,72.03,33.08,coop
501396 - 1,1,59.39,33.99,others
501395 - 2,1,69.42,32.89,others
501394 - 1,1,76.87,33.6,others
501394 - 2,1,77.81,32.56,others
501394 - 2,2,67.37,27.31,coop
501393 - 2,1,68.17,39.16,others
501392 - 2,1,64.63,35.95,others
501390 - 1,1,77.43,44.84,others
501390 - 2,1,73.6,33.28,coop
501492 - 1,1,79.58,34.94,others
501492 - 2,1,76.13,31.62,others
501491 - 1,1,79.34,34.88,others
501491 - 2,1,77.69,40.67,others
501490 - 1,1,68.5,37.24,others
501490 - 2,1,74.12,41.71,others
501490 - 2,2,68.56,37.57,others
501490 - 2,3,62.23,28.94,others
